Location number,Month,State,Gross revenue,Fixed cost,Variable cost,Rental cost,Number of products,Owned
1,1,TX,48628171.02,9218156.69,24278189.23,365880,4452,FALSE
1,2,TX,48107179.24,10587747.35,25116844.41,365880,4452,FALSE
1,3,TX,64352278.29,10193873.77,33703499.83,365880,4452,FALSE
1,4,TX,45943677.96,8764165,24037719.47,365880,4452,FALSE
1,5,TX,32761434.98,8022116.43,16432119.18,365880,4452,FALSE
1,6,TX,50677036.26,9763597.3,26233794.37,365880,4452,FALSE
1,7,TX,28215465.22,8245679.54,14457234.12,365880,4452,FALSE
1,8,TX,38955413.84,7863853.69,19744464.29,365880,4452,FALSE
1,9,TX,43602895.19,9067861.36,22138203.51,365880,4452,FALSE
1,10,TX,52406102.98,9062239.73,26246199.3,365880,4452,FALSE
1,11,TX,35787752.27,8447265.61,18430895.18,365880,4452,FALSE
1,12,TX,55301461.38,11659020.22,28549551,365880,4452,FALSE
2,1,TX,26297731.69,5700821.21,13940585.91,65270,4502,FALSE
2,2,TX,29373940.73,5149798.01,16412859.21,65270,4502,FALSE
2,3,TX,43106366.5,6439025.77,23744322.11,65270,4502,FALSE
2,4,TX,27502430.13,6509449.94,14180182.63,65270,4502,FALSE
2,5,TX,28234770.46,6195521.44,15099795.28,65270,4502,FALSE
2,6,TX,38553934.1,7234173.47,20864005.48,65270,4502,FALSE
2,7,TX,23334314.31,6187056.38,13021595.31,65270,4502,FALSE
2,8,TX,26499772.89,5893215.38,13811061.73,65270,4502,FALSE
2,9,TX,33323266.84,6054758.23,18391616.51,65270,4502,FALSE
2,10,TX,23171373.46,5227811.96,12355629.76,65270,4502,FALSE
2,11,TX,26668091.91,4711750.21,14968695.58,65270,4502,FALSE
2,12,TX,29907019.69,7570566.79,16938750.44,65270,4502,FALSE
3,1,IL,30791018.69,6123108,17948338.14,0,4620,TRUE
3,2,IL,23805331.16,5014361.53,13051817.38,0,4620,TRUE
3,3,IL,33916624.99,6043273.71,19190769.99,0,4620,TRUE
3,4,IL,24170582.83,5196755.17,13505396.58,0,4620,TRUE
3,5,IL,24925332,4688566.82,14531349.44,0,4620,TRUE
3,6,IL,36980121.91,6078797.2,20381261.95,0,4620,TRUE
3,7,IL,21011894.45,5069282.69,11654140.58,0,4620,TRUE
3,8,IL,27514438.9,5013502.99,14802054.99,0,4620,TRUE
3,9,IL,32256311.5,6207097.39,17951211.29,0,4620,TRUE
3,10,IL,27700978.92,4466050.6,15082147.54,0,4620,TRUE
3,11,IL,19977525.56,4694160.53,11309133.16,0,4620,TRUE
3,12,IL,28721644.55,5702791.92,15420255.96,0,4620,TRUE
4,1,GA,23332588.72,5605437.16,12243871.77,141410,4481,FALSE
4,2,GA,15558905.34,5255228.12,8541454.68,141410,4481,FALSE
4,3,GA,27300936.93,5711943.19,16947188.89,141410,4481,FALSE
4,4,GA,16759221.11,4807294.93,8711719.98,141410,4481,FALSE
4,5,GA,23092744.75,5439381.79,11979015.02,141410,4481,FALSE
4,6,GA,24204599.59,5554010.53,12644432.16,141410,4481,FALSE
4,7,GA,19974357.67,4918164.1,10890534.31,141410,4481,FALSE
4,8,GA,19239491.8,5083113.63,10181816.9,141410,4481,FALSE
4,9,GA,22183203.45,6072249.73,12285363.07,141410,4481,FALSE
4,10,GA,20018489.17,5034090.76,10834164.42,141410,4481,FALSE
4,11,GA,21672025.7,4882187.67,11126011.39,141410,4481,FALSE
4,12,GA,30647747.08,5740991.19,16854237.12,141410,4481,FALSE
5,1,NJ,11451647.88,2883262.61,6218835.79,74500,4533,FALSE
5,2,NJ,12156756.81,2375378.47,6286574.79,74500,4533,FALSE
5,3,NJ,19439232.09,3947250.41,10997487.96,74500,4533,FALSE
5,4,NJ,16831787.74,4113757.54,9058858.61,74500,4533,FALSE
5,5,NJ,15261458.59,3737807.47,8753929.44,74500,4533,FALSE
5,6,NJ,17055867.09,4189016.04,9941780.83,74500,4533,FALSE
5,7,NJ,10392086.38,3324421.42,5952974.38,74500,4533,FALSE
5,8,NJ,18649597.62,3348504.59,9862717.49,74500,4533,FALSE
5,9,NJ,20003969.04,4302280.12,11028128.26,74500,4533,FALSE
5,10,NJ,12289623.68,3938238.7,7033336.55,74500,4533,FALSE
5,11,NJ,16277414.37,3959781.22,8388697.31,74500,4533,FALSE
5,12,NJ,19192152.2,4630797.65,10231997.33,74500,4533,FALSE
6,1,IL,11253764.51,2528592.92,6103180.82,32790,4373,FALSE
6,2,IL,8454515.124,2555647.38,5056666.53,32790,4373,FALSE
6,3,IL,13806361.65,2742659.52,7650101.48,32790,4373,FALSE
6,4,IL,10191361.07,2455969.56,5532324.35,32790,4373,FALSE
6,5,IL,10207892.08,2514113.38,4999009.21,32790,4373,FALSE
6,6,IL,11061580.24,3257411.95,6155419.31,32790,4373,FALSE
6,7,IL,7313553.587,2609953.33,4141838.14,32790,4373,FALSE
6,8,IL,8820313.181,2377090.11,4867379.06,32790,4373,FALSE
